County_FIPS,County,State,Asian-2022-obesity%
2232,Skagway-Hoonah-Angoon,Alaska,No Data
2270,Wade Hampton Census Area,Alaska,No Data
9150,Northeastern Connecticut Planning Region,Connecticut,No Data
9160,Northwest Hills Planning Region,Connecticut,No Data
9190,Western Connecticut Planning Region,Connecticut,No Data
2280,Wrangell-Petersburg Census Area,Alaska,No Data
9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data
9140,Naugatuck Valley Planning Region,Connecticut,No Data
9110,Capitol Planning Region,Connecticut,No Data
9120,Greater Bridgeport Planning Region,Connecticut,No Data
2201,Prince of Wales - Outer Ketchikan,Alaska,No Data
2261,Valdez-Cordova Census Area,Alaska,No Data
31009,Blaine County,Nebraska,No Data
9170,South Central Connecticut Planning Region,Connecticut,No Data
9180,Southeastern Connecticut Planning Region,Connecticut,No Data
30069,Petroleum County,Montana,No Data
51515,Bedford City,Virginia,No Data
38087,Slope County,North Dakota,No Data
46075,Jones County,South Dakota,No Data
51560,Clifton Forge City,Virginia,No Data
46113,Shannon County,South Dakota,No Data
48269,King County,Texas,No Data
27087,Mahnomen County,Minnesota,0.06
21135,Lewis County,Kentucky,0.06
30011,Carter County,Montana,0.07
22025,Catahoula Parish,Louisiana,0.08
30033,Garfield County,Montana,0.08
21201,Robertson County,Kentucky,0.09
28157,Wilkinson County,Mississippi,0.09
31071,Garfield County,Nebraska,0.11
1075,Lamar County,Alabama,0.12
54015,Clay County,West Virginia,0.13
21189,Owsley County,Kentucky,0.13
28037,Franklin County,Mississippi,0.13
38039,Griggs County,North Dakota,0.13
46043,Douglas County,South Dakota,0.14
38011,Bowman County,North Dakota,0.14
46119,Sully County,South Dakota,0.14
54005,Boone County,West Virginia,0.15
38045,Lamoure County,North Dakota,0.15
48081,Coke County,Texas,0.15
48101,Cottle County,Texas,0.15
21065,Estill County,Kentucky,0.15
31125,Nance County,Nebraska,0.15
21203,Rockcastle County,Kentucky,0.15
21023,Bracken County,Kentucky,0.15
47027,Clay County,Tennessee,0.16
29093,Iron County,Missouri,0.16
20207,Woodson County,Kansas,0.16
48033,Borden County,Texas,0.17
31075,Grant County,Nebraska,0.17
29151,Osage County,Missouri,0.17
31061,Franklin County,Nebraska,0.17
30075,Powder River County,Montana,0.17
54013,Calhoun County,West Virginia,0.18
46039,Deuel County,South Dakota,0.18
30019,Daniels County,Montana,0.18
28111,Perry County,Mississippi,0.18
21109,Jackson County,Kentucky,0.18
46115,Spink County,South Dakota,0.19
28129,Smith County,Mississippi,0.19
47087,Jackson County,Tennessee,0.19
31057,Dundy County,Nebraska,0.19
5117,Prairie County,Arkansas,0.19
5025,Cleveland County,Arkansas,0.19
51051,Dickenson County,Virginia,0.2
39115,Morgan County,Ohio,0.2
42053,Forest County,Pennsylvania,0.2
29033,Carroll County,Missouri,0.2
28061,Jasper County,Mississippi,0.2
20199,Wallace County,Kansas,0.2
21119,Knott County,Kentucky,0.2
54101,Webster County,West Virginia,0.21
48045,Briscoe County,Texas,0.21
46111,Sanborn County,South Dakota,0.21
28041,Greene County,Mississippi,0.21
28107,Panola County,Mississippi,0.21
21063,Elliott County,Kentucky,0.21
28141,Tishomingo County,Mississippi,0.21
31017,Brown County,Nebraska,0.21
29061,Daviess County,Missouri,0.21
31135,Perkins County,Nebraska,0.21
28155,Webster County,Mississippi,0.21
1037,Coosa County,Alabama,0.21
38091,Steele County,North Dakota,0.22
31069,Garden County,Nebraska,0.22
31077,Greeley County,Nebraska,0.22
38085,Sioux County,North Dakota,0.22
28013,Calhoun County,Mississippi,0.22
22091,St. Helena Parish,Louisiana,0.22
21165,Menifee County,Kentucky,0.22
21237,Wolfe County,Kentucky,0.22
20047,Edwards County,Kansas,0.22
18121,Parke County,Indiana,0.22
47137,Pickett County,Tennessee,0.23
29115,Linn County,Missouri,0.23
31005,Arthur County,Nebraska,0.23
47173,Union County,Tennessee,0.23
26083,Keweenaw County,Michigan,0.23
26095,Luce County,Michigan,0.23
21051,Clay County,Kentucky,0.23
1029,Cleburne County,Alabama,0.23
8057,Jackson County,Colorado,0.23
54075,Pocahontas County,West Virginia,0.24
39127,Perry County,Ohio,0.24
28161,Yalobusha County,Mississippi,0.24
39111,Monroe County,Ohio,0.24
29041,Chariton County,Missouri,0.24
21153,Magoffin County,Kentucky,0.24
54109,Wyoming County,West Virginia,0.25
51169,Scott County,Virginia,0.25
48393,Roberts County,Texas,0.25
46137,Ziebach County,South Dakota,0.25
46071,Jackson County,South Dakota,0.25
30051,Liberty County,Montana,0.25
21187,Owen County,Kentucky,0.25
29205,Shelby County,Missouri,0.25
28005,Amite County,Mississippi,0.25
28065,Jefferson Davis County,Mississippi,0.25
28009,Benton County,Mississippi,0.25
21159,Martin County,Kentucky,0.25
28069,Kemper County,Mississippi,0.25
20179,Sheridan County,Kansas,0.25
17061,Greene County,Illinois,0.25
31027,Cedar County,Nebraska,0.25
17003,Alexander County,Illinois,0.25
48173,Glasscock County,Texas,0.26
54023,Grant County,West Virginia,0.26
51077,Grayson County,Virginia,0.26
51167,Russell County,Virginia,0.26
48427,Starr County,Texas,0.26
46087,Mccook County,South Dakota,0.26
46095,Mellette County,South Dakota,0.26
29199,Scotland County,Missouri,0.26
20019,Chautauqua County,Kansas,0.26
29153,Ozark County,Missouri,0.26
39075,Holmes County,Ohio,0.26
26153,Schoolcraft County,Michigan,0.26
29227,Worth County,Missouri,0.26
40059,Harper County,Oklahoma,0.26
20039,Decatur County,Kansas,0.26
20135,Ness County,Kansas,0.26
28119,Quitman County,Mississippi,0.26
1079,Lawrence County,Alabama,0.26
48263,Kent County,Texas,0.27
48505,Zapata County,Texas,0.27
38079,Rolette County,North Dakota,0.27
47091,Johnson County,Tennessee,0.27
22127,Winn Parish,Louisiana,0.27
28153,Wayne County,Mississippi,0.27
29085,Hickory County,Missouri,0.27
42057,Fulton County,Pennsylvania,0.27
30005,Blaine County,Montana,0.27
31117,Mcpherson County,Nebraska,0.27
29179,Reynolds County,Missouri,0.27
28063,Jefferson County,Mississippi,0.27
28015,Carroll County,Mississippi,0.27
17171,Scott County,Illinois,0.27
21127,Lawrence County,Kentucky,0.27
21131,Leslie County,Kentucky,0.27
18025,Crawford County,Indiana,0.27
13125,Glascock County,Georgia,0.27
21069,Fleming County,Kentucky,0.27
5021,Clay County,Arkansas,0.27
1027,Clay County,Alabama,0.27
54063,Monroe County,West Virginia,0.28
54059,Mingo County,West Virginia,0.28
48319,Mason County,Texas,0.28
48431,Sterling County,Texas,0.28
47067,Hancock County,Tennessee,0.28
31099,Kearney County,Nebraska,0.28
28103,Noxubee County,Mississippi,0.28
29017,Bollinger County,Missouri,0.28
46025,Clark County,South Dakota,0.28
29035,Carter County,Missouri,0.28
28051,Holmes County,Mississippi,0.28
19043,Clayton County,Iowa,0.28
21181,Nicholas County,Kentucky,0.28
1023,Choctaw County,Alabama,0.28
5013,Calhoun County,Arkansas,0.28
18015,Carroll County,Indiana,0.28
18007,Benton County,Indiana,0.28
21171,Monroe County,Kentucky,0.28
51035,Carroll County,Virginia,0.29
54045,Logan County,West Virginia,0.29
48345,Motley County,Texas,0.29
54085,Ritchie County,West Virginia,0.29
39067,Harrison County,Ohio,0.29
38033,Golden Valley County,North Dakota,0.29
28023,Clarke County,Mississippi,0.29
31169,Thayer County,Nebraska,0.29
39137,Putnam County,Ohio,0.29
31143,Polk County,Nebraska,0.29
28139,Tippah County,Mississippi,0.29
