County_FIPS,County,State,Hispanic-2022-inactivity %
9150,Northeastern Connecticut Planning Region,Connecticut,No Data
9160,Northwest Hills Planning Region,Connecticut,No Data
2280,Wrangell-Petersburg Census Area,Alaska,No Data
9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data
9140,Naugatuck Valley Planning Region,Connecticut,No Data
9110,Capitol Planning Region,Connecticut,No Data
9120,Greater Bridgeport Planning Region,Connecticut,No Data
2232,Skagway-Hoonah-Angoon,Alaska,No Data
2201,Prince of Wales - Outer Ketchikan,Alaska,No Data
2261,Valdez-Cordova Census Area,Alaska,No Data
2270,Wade Hampton Census Area,Alaska,No Data
9190,Western Connecticut Planning Region,Connecticut,No Data
9170,South Central Connecticut Planning Region,Connecticut,No Data
9180,Southeastern Connecticut Planning Region,Connecticut,No Data
51515,Bedford City,Virginia,No Data
51560,Clifton Forge City,Virginia,No Data
46113,Shannon County,South Dakota,No Data
54005,Boone County,West Virginia,0.66
39111,Monroe County,Ohio,0.73
31103,Keya Paha County,Nebraska,0.76
54043,Lincoln County,West Virginia,0.77
21131,Leslie County,Kentucky,0.77
39121,Noble County,Ohio,0.8
54099,Wayne County,West Virginia,0.81
54017,Doddridge County,West Virginia,0.81
28063,Jefferson County,Mississippi,0.86
54101,Webster County,West Virginia,0.87
54053,Mason County,West Virginia,0.87
54059,Mingo County,West Virginia,0.88
54095,Tyler County,West Virginia,0.89
54105,Wirt County,West Virginia,0.9
42047,Elk County,Pennsylvania,0.9
54067,Nicholas County,West Virginia,0.92
42005,Armstrong County,Pennsylvania,0.92
21135,Lewis County,Kentucky,0.93
21071,Floyd County,Kentucky,0.94
39105,Meigs County,Ohio,0.97
21115,Johnson County,Kentucky,0.98
54091,Taylor County,West Virginia,0.99
47067,Hancock County,Tennessee,0.99
21133,Letcher County,Kentucky,1.01
42065,Jefferson County,Pennsylvania,1.03
39075,Holmes County,Ohio,1.04
29045,Clark County,Missouri,1.04
54083,Randolph County,West Virginia,1.06
51021,Bland County,Virginia,1.07
30033,Garfield County,Montana,1.07
21195,Pike County,Kentucky,1.07
39127,Perry County,Ohio,1.09
51027,Buchanan County,Virginia,1.1
51051,Dickenson County,Virginia,1.1
54015,Clay County,West Virginia,1.1
