County_FIPS,County,State,A. Indian & A. Native-2022-obesity%
9110,Capitol Planning Region,Connecticut,No Data
9120,Greater Bridgeport Planning Region,Connecticut,No Data
2201,Prince of Wales - Outer Ketchikan,Alaska,No Data
2261,Valdez-Cordova Census Area,Alaska,No Data
2232,Skagway-Hoonah-Angoon,Alaska,No Data
2270,Wade Hampton Census Area,Alaska,No Data
15005,Kalawao County,Hawaii,No Data
9150,Northeastern Connecticut Planning Region,Connecticut,No Data
9160,Northwest Hills Planning Region,Connecticut,No Data
2280,Wrangell-Petersburg Census Area,Alaska,No Data
9190,Western Connecticut Planning Region,Connecticut,No Data
9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data
9140,Naugatuck Valley Planning Region,Connecticut,No Data
9170,South Central Connecticut Planning Region,Connecticut,No Data
9180,Southeastern Connecticut Planning Region,Connecticut,No Data
31117,Mcpherson County,Nebraska,No Data
51515,Bedford City,Virginia,No Data
48301,Loving County,Texas,No Data
51560,Clifton Forge City,Virginia,No Data
46113,Shannon County,South Dakota,No Data
31071,Garfield County,Nebraska,0.06
28049,Hinds County,Mississippi,0.08
54101,Webster County,West Virginia,0.12
54059,Mingo County,West Virginia,0.12
39075,Holmes County,Ohio,0.12
13209,Montgomery County,Georgia,0.12
21171,Monroe County,Kentucky,0.13
54043,Lincoln County,West Virginia,0.14
54045,Logan County,West Virginia,0.15
54039,Kanawha County,West Virginia,0.15
21069,Fleming County,Kentucky,0.15
42129,Westmoreland County,Pennsylvania,0.16
21195,Pike County,Kentucky,0.16
13243,Randolph County,Georgia,0.16
13249,Schley County,Georgia,0.16
21127,Lawrence County,Kentucky,0.16
19037,Chickasaw County,Iowa,0.16
21071,Floyd County,Kentucky,0.16
54005,Boone County,West Virginia,0.17
54103,Wetzel County,West Virginia,0.17
42003,Allegheny County,Pennsylvania,0.17
31075,Grant County,Nebraska,0.17
39055,Geauga County,Ohio,0.17
28051,Holmes County,Mississippi,0.17
21229,Washington County,Kentucky,0.17
31115,Loup County,Nebraska,0.17
19055,Delaware County,Iowa,0.17
21181,Nicholas County,Kentucky,0.17
42005,Armstrong County,Pennsylvania,0.18
42087,Mifflin County,Pennsylvania,0.18
42013,Blair County,Pennsylvania,0.18
42021,Cambria County,Pennsylvania,0.18
42019,Butler County,Pennsylvania,0.18
39111,Monroe County,Ohio,0.18
21111,Jefferson County,Kentucky,0.18
20063,Gove County,Kansas,0.18
19023,Butler County,Iowa,0.18
51027,Buchanan County,Virginia,0.19
54061,Monongalia County,West Virginia,0.19
54023,Grant County,West Virginia,0.19
42073,Lawrence County,Pennsylvania,0.19
42007,Beaver County,Pennsylvania,0.19
28011,Bolivar County,Mississippi,0.19
21025,Breathitt County,Kentucky,0.19
13265,Taliaferro County,Georgia,0.19
1119,Sumter County,Alabama,0.19
13309,Wheeler County,Georgia,0.19
13303,Washington County,Georgia,0.19
51021,Bland County,Virginia,0.2
39165,Warren County,Ohio,0.2
42061,Huntingdon County,Pennsylvania,0.2
42125,Washington County,Pennsylvania,0.2
42009,Bedford County,Pennsylvania,0.2
21037,Campbell County,Kentucky,0.2
28015,Carroll County,Mississippi,0.2
21057,Cumberland County,Kentucky,0.2
54069,Ohio County,West Virginia,0.21
54033,Harrison County,West Virginia,0.21
54109,Wyoming County,West Virginia,0.21
51173,Smyth County,Virginia,0.21
42027,Centre County,Pennsylvania,0.21
51195,Wise County,Virginia,0.21
54041,Lewis County,West Virginia,0.21
29189,St. Louis County,Missouri,0.21
42111,Somerset County,Pennsylvania,0.21
39153,Summit County,Ohio,0.21
39103,Medina County,Ohio,0.21
29171,Putnam County,Missouri,0.21
21059,Daviess County,Kentucky,0.21
19177,Van Buren County,Iowa,0.21
28121,Rankin County,Mississippi,0.21
21131,Leslie County,Kentucky,0.21
21115,Johnson County,Kentucky,0.21
17169,Schuyler County,Illinois,0.21
54057,Mineral County,West Virginia,0.22
54009,Brooke County,West Virginia,0.22
54107,Wood County,West Virginia,0.22
51197,Wythe County,Virginia,0.22
39159,Union County,Ohio,0.22
39085,Lake County,Ohio,0.22
54053,Mason County,West Virginia,0.22
42035,Clinton County,Pennsylvania,0.22
31077,Greeley County,Nebraska,0.22
42051,Fayette County,Pennsylvania,0.22
33015,Rockingham County,New Hampshire,0.22
42047,Elk County,Pennsylvania,0.22
28053,Humphreys County,Mississippi,0.22
18065,Henry County,Indiana,0.22
21193,Perry County,Kentucky,0.22
21165,Menifee County,Kentucky,0.22
21117,Kenton County,Kentucky,0.22
54011,Cabell County,West Virginia,0.23
39133,Portage County,Ohio,0.23
42063,Indiana County,Pennsylvania,0.23
42109,Snyder County,Pennsylvania,0.23
42033,Clearfield County,Pennsylvania,0.23
39025,Clermont County,Ohio,0.23
39139,Richland County,Ohio,0.23
39109,Miami County,Ohio,0.23
39013,Belmont County,Ohio,0.23
28031,Covington County,Mississippi,0.23
17131,Mercer County,Illinois,0.23
29183,St. Charles County,Missouri,0.23
19161,Sac County,Iowa,0.23
1023,Choctaw County,Alabama,0.23
21051,Clay County,Kentucky,0.23
21133,Letcher County,Kentucky,0.23
17133,Monroe County,Illinois,0.23
21119,Knott County,Kentucky,0.23
19075,Grundy County,Iowa,0.23
17147,Piatt County,Illinois,0.23
18057,Hamilton County,Indiana,0.23
17035,Cumberland County,Illinois,0.23
17189,Washington County,Illinois,0.23
54079,Putnam County,West Virginia,0.24
51185,Tazewell County,Virginia,0.24
42115,Susquehanna County,Pennsylvania,0.24
39169,Wayne County,Ohio,0.24
51191,Washington County,Virginia,0.24
39041,Delaware County,Ohio,0.24
21217,Taylor County,Kentucky,0.24
21205,Rowan County,Kentucky,0.24
24001,Allegany County,Maryland,0.24
21011,Bath County,Kentucky,0.24
13023,Bleckley County,Georgia,0.24
54031,Hardy County,West Virginia,0.25
51017,Bath County,Virginia,0.25
39149,Shelby County,Ohio,0.25
42045,Delaware County,Pennsylvania,0.25
42059,Greene County,Pennsylvania,0.25
42031,Clarion County,Pennsylvania,0.25
39155,Trumbull County,Ohio,0.25
34019,Hunterdon County,New Jersey,0.25
42041,Cumberland County,Pennsylvania,0.25
29197,Schuyler County,Missouri,0.25
50007,Chittenden County,Vermont,0.25
36091,Saratoga County,New York,0.25
28063,Jefferson County,Mississippi,0.25
22125,West Feliciana Parish,Louisiana,0.25
18115,Ohio County,Indiana,0.25
21109,Jackson County,Kentucky,0.25
19191,Winneshiek County,Iowa,0.25
21105,Hickman County,Kentucky,0.25
13301,Warren County,Georgia,0.25
19019,Buchanan County,Iowa,0.25
18029,Dearborn County,Indiana,0.25
1131,Wilcox County,Alabama,0.25
51091,Highland County,Virginia,0.26
54093,Tucker County,West Virginia,0.26
51063,Floyd County,Virginia,0.26
42039,Crawford County,Pennsylvania,0.26
42037,Columbia County,Pennsylvania,0.26
39117,Morrow County,Ohio,0.26
19185,Wayne County,Iowa,0.26
28151,Washington County,Mississippi,0.26
24023,Garrett County,Maryland,0.26
42065,Jefferson County,Pennsylvania,0.26
42081,Lycoming County,Pennsylvania,0.26
