County_FIPS,County,State,Physical Inactivity-2021-%,White-2022-Inactivity%
9130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
9140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
2232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
9110,Capitol Planning Region,Connecticut,No Data,No Data
9120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
9190,Western Connecticut Planning Region,Connecticut,No Data,No Data
2201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
2261,Valdez-Cordova Census Area,Alaska,No Data,No Data
2270,Wade Hampton Census Area,Alaska,No Data,No Data
9150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
9160,Northwest Hills Planning Region,Connecticut,No Data,No Data
2280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
9170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
9180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
46113,Shannon County,South Dakota,No Data,No Data
2158,Kusilvak Census Area,Alaska,21.3,2.69
48323,Maverick County,Texas,24.2,2.84
48427,Starr County,Texas,18.1,3.46
48479,Webb County,Texas,21.5,3.59
48505,Zapata County,Texas,14.2,4.01
48507,Zavala County,Texas,18.6,4.62
46102,Oglala Lakota County,South Dakota,26.1,4.88
48215,Hidalgo County,Texas,24.7,5.69
48247,Jim Hogg County,Texas,14,6.55
48047,Brooks County,Texas,13.9,7.11
46121,Todd County,South Dakota,29.7,7.59
35031,Mckinley County,New Mexico,24.4,7.76
13063,Clayton County,Georgia,29,8
2050,Bethel Census Area,Alaska,25.6,8.14
48061,Cameron County,Texas,26.7,8.54
48489,Willacy County,Texas,13.4,8.68
36005,Bronx County,New York,29.8,8.68
2013,Aleutians East Borough,Alaska,18.6,8.89
2188,Northwest Arctic Borough,Alaska,22.8,9.08
6025,Imperial County,California,21.2,9.12
48127,Dimmit County,Texas,14.4,9.13
48131,Duval County,Texas,13.7,9.49
28021,Claiborne County,Mississippi,18.6,11.1
48141,El Paso County,Texas,22.6,11.17
48283,La Salle County,Texas,13.9,11.21
24033,Prince George&#39;s County,Maryland,20.7,11.39
38085,Sioux County,North Dakota,21,11.91
48377,Presidio County,Texas,13.9,12.71
48163,Frio County,Texas,13.6,12.87
2180,Nome Census Area,Alaska,23.2,12.92
35039,Rio Arriba County,New Mexico,20.1,12.94
48229,Hudspeth County,Texas,14,13.11
28063,Jefferson County,Mississippi,21.8,13.25
55078,Menominee County,Wisconsin,21.4,13.46
12086,Miami-Dade County,Florida,No Data,13.75
