County,State,Diagnosed Diabetes-2021-Percentage,%American Indian & Alaska Native Non-Hispanic-2022-Percentage
Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
Northwest Hills Planning Region,Connecticut,No Data,No Data
Kalawao County,Hawaii,8.9,No Data
Wrangell-Petersburg Census Area,Alaska,No Data,No Data
Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
Naugatuck Valley Planning Region,Connecticut,No Data,No Data
Capitol Planning Region,Connecticut,No Data,No Data
Greater Bridgeport Planning Region,Connecticut,No Data,No Data
Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
Valdez-Cordova Census Area,Alaska,No Data,No Data
Skagway-Hoonah-Angoon,Alaska,No Data,No Data
Wade Hampton Census Area,Alaska,No Data,No Data
Western Connecticut Planning Region,Connecticut,No Data,No Data
South Central Connecticut Planning Region,Connecticut,No Data,No Data
Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
Mcpherson County,Nebraska,7.1,No Data
Bedford City,Virginia,No Data,No Data
Clifton Forge City,Virginia,No Data,No Data
Loving County,Texas,7.6,No Data
Shannon County,South Dakota,No Data,No Data
Garfield County,Nebraska,6.8,0.06
Hinds County,Mississippi,13.1,0.08
Webster County,West Virginia,8.8,0.12
Mingo County,West Virginia,11.7,0.12
Holmes County,Ohio,7.1,0.12
Montgomery County,Georgia,8.3,0.12
Monroe County,Kentucky,7,0.13
Lincoln County,West Virginia,11.5,0.14
Logan County,West Virginia,10.5,0.15
Kanawha County,West Virginia,12.2,0.15
Fleming County,Kentucky,8.9,0.15
Westmoreland County,Pennsylvania,7.8,0.16
Lawrence County,Kentucky,10.3,0.16
Chickasaw County,Iowa,6.3,0.16
Randolph County,Georgia,9.1,0.16
Pike County,Kentucky,10.1,0.16
Floyd County,Kentucky,11.6,0.16
Schley County,Georgia,7.7,0.16
Boone County,West Virginia,12.6,0.17
Wetzel County,West Virginia,7.3,0.17
Allegheny County,Pennsylvania,7.6,0.17
Grant County,Nebraska,7.8,0.17
Geauga County,Ohio,7.5,0.17
Washington County,Kentucky,8.8,0.17
Holmes County,Mississippi,15.5,0.17
Loup County,Nebraska,8.3,0.17
Delaware County,Iowa,7.9,0.17
Nicholas County,Kentucky,7.3,0.17
Armstrong County,Pennsylvania,7.5,0.18
Blair County,Pennsylvania,8.5,0.18
Mifflin County,Pennsylvania,7.2,0.18
