County_FIPS,County,State,Overall SVI-2018-Percentile
1001,Autauga County,Alabama,0.4354
1003,Baldwin County,Alabama,0.2162
1005,Barbour County,Alabama,0.9959
1007,Bibb County,Alabama,0.6003
1009,Blount County,Alabama,0.4242
1011,Bullock County,Alabama,0.8898
1013,Butler County,Alabama,0.8653
1015,Calhoun County,Alabama,0.8252
1017,Chambers County,Alabama,0.7382
1019,Cherokee County,Alabama,0.4516
1021,Chilton County,Alabama,0.7602
1023,Choctaw County,Alabama,0.8748
1025,Clarke County,Alabama,0.8471
1027,Clay County,Alabama,0.564
1029,Cleburne County,Alabama,0.5417
1031,Coffee County,Alabama,0.5408
1033,Colbert County,Alabama,0.4274
1035,Conecuh County,Alabama,0.8086
1037,Coosa County,Alabama,0.5261
1039,Covington County,Alabama,0.7723
1041,Crenshaw County,Alabama,0.6873
1043,Cullman County,Alabama,0.5182
1045,Dale County,Alabama,0.7599
1047,Dallas County,Alabama,0.949
1049,Dekalb County,Alabama,0.8022
1051,Elmore County,Alabama,0.5401
1053,Escambia County,Alabama,0.8557
1055,Etowah County,Alabama,0.6564
1057,Fayette County,Alabama,0.7038
1059,Franklin County,Alabama,0.8417
1061,Geneva County,Alabama,0.7955
1063,Greene County,Alabama,0.9854
1065,Hale County,Alabama,0.9599
1067,Henry County,Alabama,0.5519
1069,Houston County,Alabama,0.6838
1071,Jackson County,Alabama,0.5726
1073,Jefferson County,Alabama,0.6621
1075,Lamar County,Alabama,0.6264
1077,Lauderdale County,Alabama,0.4468
1079,Lawrence County,Alabama,0.4952
1081,Lee County,Alabama,0.6602
1083,Limestone County,Alabama,0.5296
1085,Lowndes County,Alabama,0.9188
1087,Macon County,Alabama,0.8971
1089,Madison County,Alabama,0.3076
1091,Marengo County,Alabama,0.7621
1093,Marion County,Alabama,0.671
1095,Marshall County,Alabama,0.7261
1097,Mobile County,Alabama,0.7532
1099,Monroe County,Alabama,0.7481
1101,Montgomery County,Alabama,0.8427
1103,Morgan County,Alabama,0.6895
1105,Perry County,Alabama,0.9949
1107,Pickens County,Alabama,0.9207
1109,Pike County,Alabama,0.9016
1111,Randolph County,Alabama,0.7191
1113,Russell County,Alabama,0.9115
1117,Shelby County,Alabama,0.1169
1115,St. Clair County,Alabama,0.3656
1119,Sumter County,Alabama,0.9557
1121,Talladega County,Alabama,0.8736
1123,Tallapoosa County,Alabama,0.8863
1125,Tuscaloosa County,Alabama,0.6255
1127,Walker County,Alabama,0.7452
1129,Washington County,Alabama,0.7303
1131,Wilcox County,Alabama,0.928
1133,Winston County,Alabama,0.7025
2013,Aleutians East Borough,Alaska,0.5803
2016,Aleutians West Census Area,Alaska,0.4927
2020,Anchorage Municipality,Alaska,0.4602
2050,Bethel Census Area,Alaska,0.9748
2060,Bristol Bay Borough,Alaska,0.3525
2068,Denali Borough,Alaska,0.101
2070,Dillingham Census Area,Alaska,0.8682
2090,Fairbanks North Star Borough,Alaska,0.3446
2100,Haines Borough,Alaska,0.207
2105,Hoonah-Angoon Census Area,Alaska,0.4178
2110,Juneau City and Borough,Alaska,0.2987
2122,Kenai Peninsula Borough,Alaska,0.4073
2130,Ketchikan Gateway Borough,Alaska,0.5548
2150,Kodiak Island Borough,Alaska,0.7006
2158,Kusilvak Census Area,Alaska,0.9334
2164,Lake and Peninsula Borough,Alaska,0.7978
2170,Matanuska-Susitna Borough,Alaska,0.3172
2180,Nome Census Area,Alaska,0.9299
2185,North Slope Borough,Alaska,0.7344
2188,Northwest Arctic Borough,Alaska,0.9354
2195,Petersburg Borough,Alaska,0.665
2198,Prince of Wales-Hyder Census Area,Alaska,0.7662
2220,Sitka City and Borough,Alaska,0.4022
2230,Skagway Municipality,Alaska,0.1685
2240,Southeast Fairbanks Census Area,Alaska,0.5838
2261,Valdez-Cordova Census Area,Alaska,0.2704
2275,Wrangell City and Borough,Alaska,0.5618
2282,Yakutat City and Borough,Alaska,0.5873
2290,Yukon-Koyukuk Census Area,Alaska,0.8812
4001,Apache County,Arizona,0.9885
4003,Cochise County,Arizona,0.9064
4005,Coconino County,Arizona,0.7131
4007,Gila County,Arizona,0.899
4009,Graham County,Arizona,0.964
4011,Greenlee County,Arizona,0.6188
4012,La Paz County,Arizona,0.9236
4013,Maricopa County,Arizona,0.6354
4015,Mohave County,Arizona,0.8624
4017,Navajo County,Arizona,0.9955
4019,Pima County,Arizona,0.8828
4021,Pinal County,Arizona,0.8592
4023,Santa Cruz County,Arizona,0.9318
4025,Yavapai County,Arizona,0.521
4027,Yuma County,Arizona,0.9895
5001,Arkansas County,Arkansas,0.7787
5003,Ashley County,Arkansas,0.8576
5005,Baxter County,Arkansas,0.2793
5007,Benton County,Arkansas,0.2707
5009,Boone County,Arkansas,0.4379
5011,Bradley County,Arkansas,0.9803
5013,Calhoun County,Arkansas,0.5481
5015,Carroll County,Arkansas,0.5952
5017,Chicot County,Arkansas,0.9968
5019,Clark County,Arkansas,0.7892
5021,Clay County,Arkansas,0.6529
5023,Cleburne County,Arkansas,0.2083
5025,Cleveland County,Arkansas,0.5643
5027,Columbia County,Arkansas,0.9398
5029,Conway County,Arkansas,0.7589
5031,Craighead County,Arkansas,0.8041
5033,Crawford County,Arkansas,0.6105
5035,Crittenden County,Arkansas,0.9341
5037,Cross County,Arkansas,0.7013
5039,Dallas County,Arkansas,0.8777
5041,Desha County,Arkansas,0.9596
5043,Drew County,Arkansas,0.801
5045,Faulkner County,Arkansas,0.4774
5047,Franklin County,Arkansas,0.5943
5049,Fulton County,Arkansas,0.6688
5051,Garland County,Arkansas,0.828
5053,Grant County,Arkansas,0.3541
5055,Greene County,Arkansas,0.5834
5057,Hempstead County,Arkansas,0.9468
5059,Hot Spring County,Arkansas,0.8188
5061,Howard County,Arkansas,0.9045
5063,Independence County,Arkansas,0.7525
5065,Izard County,Arkansas,0.5697
5067,Jackson County,Arkansas,0.765
5069,Jefferson County,Arkansas,0.9436
5071,Johnson County,Arkansas,0.8768
5073,Lafayette County,Arkansas,0.7898
5075,Lawrence County,Arkansas,0.6471
5077,Lee County,Arkansas,0.9656
5079,Lincoln County,Arkansas,0.8134
5081,Little River County,Arkansas,0.6306
5083,Logan County,Arkansas,0.8045
5085,Lonoke County,Arkansas,0.3309
5087,Madison County,Arkansas,0.6535
5089,Marion County,Arkansas,0.5175
5091,Miller County,Arkansas,0.9124
5093,Mississippi County,Arkansas,0.9554
5095,Monroe County,Arkansas,0.8516
5097,Montgomery County,Arkansas,0.7
5099,Nevada County,Arkansas,0.8841
5101,Newton County,Arkansas,0.2815
5103,Ouachita County,Arkansas,0.8656
5105,Perry County,Arkansas,0.636
5107,Phillips County,Arkansas,0.9239
5109,Pike County,Arkansas,0.7124
5111,Poinsett County,Arkansas,0.8268
5113,Polk County,Arkansas,0.8949
5115,Pope County,Arkansas,0.7936
5117,Prairie County,Arkansas,0.6548
5119,Pulaski County,Arkansas,0.6287
5121,Randolph County,Arkansas,0.7166
5125,Saline County,Arkansas,0.3325
5127,Scott County,Arkansas,0.8873
5129,Searcy County,Arkansas,0.4376
5131,Sebastian County,Arkansas,0.8328
