County_FIPS,Urban_Rural,County,State,Diagnosed Diabetes-2021-Percentage,Overall SVI-2018-Percentile
1001,Urban,Autauga County,Alabama,8,0.4354
1003,Urban,Baldwin County,Alabama,9.9,0.2162
1005,Rural,Barbour County,Alabama,9.2,0.9959
1007,Urban,Bibb County,Alabama,9.1,0.6003
1009,Urban,Blount County,Alabama,8.5,0.4242
1011,Rural,Bullock County,Alabama,9,0.8898
1013,Rural,Butler County,Alabama,9.8,0.8653
1015,Urban,Calhoun County,Alabama,12,0.8252
1017,Urban,Chambers County,Alabama,10.7,0.7382
1019,Rural,Cherokee County,Alabama,8.5,0.4516
1021,Urban,Chilton County,Alabama,9.9,0.7602
1023,Rural,Choctaw County,Alabama,11.2,0.8748
1025,Rural,Clarke County,Alabama,9.9,0.8471
1027,Rural,Clay County,Alabama,8.2,0.564
1029,Rural,Cleburne County,Alabama,8.3,0.5417
1031,Urban,Coffee County,Alabama,9.7,0.5408
1033,Urban,Colbert County,Alabama,8.2,0.4274
1035,Rural,Conecuh County,Alabama,11.2,0.8086
1037,Urban,Coosa County,Alabama,8.4,0.5261
1039,Rural,Covington County,Alabama,10.5,0.7723
1041,Rural,Crenshaw County,Alabama,9.4,0.6873
1043,Urban,Cullman County,Alabama,9.8,0.5182
1045,Urban,Dale County,Alabama,11.6,0.7599
1047,Urban,Dallas County,Alabama,12.3,0.949
1049,Rural,Dekalb County,Alabama,9.2,0.8022
1051,Urban,Elmore County,Alabama,10.5,0.5401
1053,Rural,Escambia County,Alabama,10.5,0.8557
1055,Urban,Etowah County,Alabama,11.6,0.6564
1057,Rural,Fayette County,Alabama,7.5,0.7038
1059,Rural,Franklin County,Alabama,7.5,0.8417
1061,Urban,Geneva County,Alabama,11.1,0.7955
1063,Rural,Greene County,Alabama,10.7,0.9854
1065,Urban,Hale County,Alabama,9.8,0.9599
1067,Urban,Henry County,Alabama,7.8,0.5519
1069,Urban,Houston County,Alabama,10.2,0.6838
1071,Urban,Jackson County,Alabama,8.9,0.5726
1073,Urban,Jefferson County,Alabama,12,0.6621
1075,Rural,Lamar County,Alabama,8.5,0.6264
1077,Urban,Lauderdale County,Alabama,10.8,0.4468
1079,Urban,Lawrence County,Alabama,8.3,0.4952
1081,Urban,Lee County,Alabama,8.8,0.6602
1083,Urban,Limestone County,Alabama,9.7,0.5296
1085,Urban,Lowndes County,Alabama,9.5,0.9188
1087,Rural,Macon County,Alabama,11.1,0.8971
1089,Urban,Madison County,Alabama,10.8,0.3076
1091,Rural,Marengo County,Alabama,10.5,0.7621
1093,Rural,Marion County,Alabama,8,0.671
1095,Urban,Marshall County,Alabama,9.6,0.7261
1097,Urban,Mobile County,Alabama,13.3,0.7532
1099,Rural,Monroe County,Alabama,9.4,0.7481
1101,Urban,Montgomery County,Alabama,15,0.8427
1103,Urban,Morgan County,Alabama,10.9,0.6895
1105,Rural,Perry County,Alabama,11,0.9949
1107,Urban,Pickens County,Alabama,10,0.9207
1109,Urban,Pike County,Alabama,9.9,0.9016
1111,Rural,Randolph County,Alabama,10.9,0.7191
1113,Urban,Russell County,Alabama,10.5,0.9115
1117,Urban,Shelby County,Alabama,9.5,0.1169
1115,Urban,St. Clair County,Alabama,10.6,0.3656
1119,Rural,Sumter County,Alabama,11.3,0.9557
1121,Urban,Talladega County,Alabama,10.6,0.8736
1123,Rural,Tallapoosa County,Alabama,10.8,0.8863
1125,Urban,Tuscaloosa County,Alabama,12.5,0.6255
1127,Urban,Walker County,Alabama,9.4,0.7452
1129,Rural,Washington County,Alabama,10.4,0.7303
1131,Rural,Wilcox County,Alabama,11.2,0.928
1133,Rural,Winston County,Alabama,7.3,0.7025
2013,Rural,Aleutians East Borough,Alaska,9.9,0.5803
2016,Rural,Aleutians West Census Area,Alaska,11.9,0.4927
2020,Urban,Anchorage Municipality,Alaska,7.2,0.4602
2050,Rural,Bethel Census Area,Alaska,9.4,0.9748
2060,Rural,Bristol Bay Borough,Alaska,9.6,0.3525
2068,Rural,Denali Borough,Alaska,6.5,0.101
2070,Rural,Dillingham Census Area,Alaska,8.5,0.8682
2090,Urban,Fairbanks North Star Borough,Alaska,7.7,0.3446
2100,Rural,Haines Borough,Alaska,7.1,0.207
2105,Rural,Hoonah-Angoon Census Area,Alaska,7.2,0.4178
2110,Urban,Juneau City and Borough,Alaska,6.9,0.2987
2122,Rural,Kenai Peninsula Borough,Alaska,7.8,0.4073
2130,Urban,Ketchikan Gateway Borough,Alaska,8.9,0.5548
2150,Rural,Kodiak Island Borough,Alaska,8.1,0.7006
2158,Rural,Kusilvak Census Area,Alaska,9.2,0.9334
2164,Rural,Lake and Peninsula Borough,Alaska,8.4,0.7978
2170,Urban,Matanuska-Susitna Borough,Alaska,7.5,0.3172
2180,Rural,Nome Census Area,Alaska,8.2,0.9299
2185,Rural,North Slope Borough,Alaska,9.5,0.7344
2188,Rural,Northwest Arctic Borough,Alaska,9.6,0.9354
2195,Rural,Petersburg Borough,Alaska,6.8,0.665
2198,Rural,Prince of Wales-Hyder Census Area,Alaska,8.6,0.7662
2220,Rural,Sitka City and Borough,Alaska,8.7,0.4022
2230,Rural,Skagway Municipality,Alaska,7.8,0.1685
2240,Rural,Southeast Fairbanks Census Area,Alaska,7.7,0.5838
2261,Rural,Valdez-Cordova Census Area,Alaska,No Data,0.2704
2275,Rural,Wrangell City and Borough,Alaska,9.2,0.5618
2282,Rural,Yakutat City and Borough,Alaska,8.4,0.5873
2290,Rural,Yukon-Koyukuk Census Area,Alaska,8.9,0.8812
4001,Rural,Apache County,Arizona,12.6,0.9885
4003,Urban,Cochise County,Arizona,8,0.9064
