No Health Insurance-Percent; NaturalBreaks
Data downloaded on 20-August-2025
County_FIPS,County,State,Newly Diagnosed Diabetes-2019-Rate per 1000,No Health Insurance-2017-2021-Percentage
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
02261,Valdez-Cordova Census Area,Alaska,6.4,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
15005,Kalawao County,Hawaii,3.4,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
46113,Shannon County,South Dakota,No Data,No Data
25017,Middlesex County,Massachusetts,5,2.4
25021,Norfolk County,Massachusetts,6,2.4
25015,Hampshire County,Massachusetts,5.5,2.5
25023,Plymouth County,Massachusetts,6.5,2.7
25011,Franklin County,Massachusetts,5.2,2.8
35028,Los Alamos County,New Mexico,4.6,3
25027,Worcester County,Massachusetts,7.2,3
25009,Essex County,Massachusetts,6,3.1
27019,Carver County,Minnesota,6.7,3.1
25003,Berkshire County,Massachusetts,7.8,3.1
25001,Barnstable County,Massachusetts,5.8,3.2
44001,Bristol County,Rhode Island,6.1,3.3
25025,Suffolk County,Massachusetts,7,3.3
27163,Washington County,Minnesota,6,3.4
25005,Bristol County,Massachusetts,6.6,3.5
44009,Washington County,Rhode Island,6,3.7
44005,Newport County,Rhode Island,5.4,3.7
25013,Hampden County,Massachusetts,6.9,3.7
11001,District Of Columbia,District of Columbia,4.9,3.7
21185,Oldham County,Kentucky,7,3.7
19181,Warren County,Iowa,8.3,3.8
19017,Bremer County,Iowa,4.8,3.8
17009,Brown County,Illinois,7,3.8
19191,Winneshiek County,Iowa,4.3,3.9
06061,Placer County,California,5.1,3.9
44003,Kent County,Rhode Island,7.4,4
36029,Erie County,New York,8.5,4
50007,Chittenden County,Vermont,5.2,4
50023,Washington County,Vermont,6.3,4.1
55089,Ozaukee County,Wisconsin,5.3,4.1
55133,Waukesha County,Wisconsin,5.6,4.1
25007,Dukes County,Massachusetts,8.7,4.1
36091,Saratoga County,New York,7,4.1
27139,Scott County,Minnesota,5.4,4.1
26093,Livingston County,Michigan,5.4,4.1
27109,Olmsted County,Minnesota,5.5,4.1
25019,Nantucket County,Massachusetts,6,4.1
15003,Honolulu County,Hawaii,8.8,4.1
17133,Monroe County,Illinois,10.7,4.1
50021,Rutland County,Vermont,8.1,4.2
50001,Addison County,Vermont,4.5,4.2
36053,Madison County,New York,7.2,4.2
36059,Nassau County,New York,5.9,4.2
27113,Pennington County,Minnesota,5.3,4.2
09007,Middlesex County,Connecticut,5.5,4.2
19125,Marion County,Iowa,6.7,4.2
55015,Calumet County,Wisconsin,6.4,4.3
55109,St. Croix County,Wisconsin,5.3,4.3
19049,Dallas County,Iowa,4.9,4.3
08035,Douglas County,Colorado,3.8,4.3
09013,Tolland County,Connecticut,5.8,4.3
51610,Falls Church City,Virginia,6.6,4.4
